ID,Usuario,Texto,Seguidores,Siguiendo,Favoritos Cuenta,RTs,Favoritos Tweet,Fecha,Localizacion
ID,Usuario,Texto,Seguidores,Siguiendo,Favoritos Cuenta,RTs,Favoritos Tweet,Fecha,Localizacion
515793310,modestmerchant,🧐 ➡️ Lable ✅ Lable ✅ WTF? 🤦‍♀️ #hardsell #goodwine #torowine #ucles #spanishwine #tintofino #redwine… https://t.co/4KlhFlUlib,472,1164,1876,0,0,2018-05-02 06:39:24,"London, UK"
297900722,JaviMoyaRufino,#aracenanoticias #CONCEJIL #BLogBreves2018 Ahora nos enteramos que el XI Euro-Toques que tuvo en #Jabugo una de sus… https://t.co/HIph0oYyOx,1341,1407,13122,0,0,2018-05-02 06:20:37,Aracena (Huelva)
509201061,ACSearus,RT @Jamon_Lovers: II Concurso Nacional de Cortadores de Jamón Los Palacios y Villafranca (Sevilla). Cuenta con Modalidad Amateur y Modalida…,1428,2281,1524,1,0,2018-05-02 06:00:49,Por todo el mundo...
829379059,jachajigo,RT @planvex: Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio centenar de l…,3602,2000,719,6,0,2018-05-02 05:35:28,
920319504692994048,HamBot2,RT @7IkVsTIo: #Prosciutto #jamón ibérico #金华火腿 https://t.co/ljJhkXIJLi,47,1,0,1,0,2018-05-02 05:32:04,
733471790,7IkVsTIo,#Prosciutto #jamón ibérico #金华火腿 https://t.co/ljJhkXIJLi,38,220,20,1,0,2018-05-02 04:51:56,
830480342251405312,RecetasExpress_,Judías verdes con jamón A MI MANERA https://t.co/sTjvBDdfV5 #jamon 😋,2874,1999,758,0,0,2018-05-02 04:45:46,España
62017338,AMIGASTRONOMIKS,"RT @conchacrespo: Magnífica exhibición de productos con denominación de origen, capitaneada por la #dopPriegolahistoria
Catas interminables…",4260,2600,5777,6,0,2018-05-02 00:00:24,
448613563,BereniceSPAIN,RT @LaUniondeJabugo: Nuestros Jamones Ibéricos de Bellota se elaboran en Jabugo siguiendo procedimientos artesanales transmitidos de genera…,1038,1021,7877,1,0,2018-05-01 22:11:15,I Love Sevilla I love Spain 
491489507,JamonesEnrique,"RT @EligetuIberico: Dice el refrán que ""del cerdo #Ibérico se aprovechan hasta los andares..."" y no le falta razón. Más allá del producto e…",752,1390,719,9,0,2018-05-01 21:56:00,Cumbres Mayores 
556175431,JuanPedro_SR,RT @planvex: Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio centenar de l…,1078,1330,587,6,0,2018-05-01 21:45:51,De Extremadura al Mundo
492600282,RODRIGONAVAJO,"RT @tierradesabor: Un gran consejo de @JamonBlazquez para que tu #jamón #ibérico lo aproveches al máximo: la pezuña siempre ""mirando al cie…",275,332,23139,3,0,2018-05-01 20:57:28,"BURGOS ,CASTILLA Y LEON"
72315595,pizzaspiccolo,"Vive la magia de nuestro punto de venta en Llanogrande.
.
.
#piccololaspalmas #fiestasinfantiles… https://t.co/H13Cjn7d2B",1847,1914,23,0,1,2018-05-01 20:35:36,Colombia
760536921793785856,IgnasiRecetas,"RT @monstruorecetas: Receta de empanadillas de espinacas con queso de cabra y jamón cocido. Son de masa casera y cocinadas al horno, hacién…",1958,1048,23,2,0,2018-05-01 19:47:08,"Centelles, España"
709134306,ElisaCruzParejo,RT @planvex: Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio centenar de l…,1529,325,2710,6,0,2018-05-01 19:34:53,
717656071,fmg_nokia,"RT @tierradesabor: Un gran consejo de @JamonBlazquez para que tu #jamón #ibérico lo aproveches al máximo: la pezuña siempre ""mirando al cie…",446,296,7464,3,0,2018-05-01 19:13:57,Alcorcón y Getafe España
4881277907,RosaGJAraujo1,@profesorjaen @Kino_Navarro #Jamón PorKino,386,378,1468,0,1,2018-05-01 19:11:15,Madrid
177524011,tierradesabor,"Un gran consejo de @JamonBlazquez para que tu #jamón #ibérico lo aproveches al máximo: la pezuña siempre ""mirando a… https://t.co/ycDezw0Q36",22543,1088,9563,3,8,2018-05-01 18:30:32,Castilla y León
2163003756,RestauranteMoka,"Gracias a todos por compartir vuestros momentos, vuestras sensaciones, vuestras opiniones y sobre todo vuestras fot… https://t.co/a9LH968rqE",231,247,725,0,0,2018-05-01 18:29:02,"Rambles, 126"
274652228,Jamon_Lovers,RT @Jamon_Lovers: Os dejamos un vídeo con un pequeño resumen sobre la identificación de los jamones ibéricos. Gracias @elblogdeceleste por…,1975,624,6045,4,0,2018-05-01 17:23:02,Madrid
3406112501,Altheaxenagab,RT @planvex: Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio centenar de l…,944,1212,16160,6,0,2018-05-01 15:37:51,"Extremadura, España"
7262842,miliomendralejo,RT @planvex: Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio centenar de l…,170,131,9811,6,0,2018-05-01 15:20:01,Mendralejo
3856413808,cortadoradjamon,En @ruedacasalola estamos encantados de formar parte de vuestra vuelta a casa!! #ruedacasalola… https://t.co/tkoefbnXXZ,1501,3252,6992,0,0,2018-05-01 15:09:29,"Valladolid, Castilla y León"
136112882,Lucelly31,"RT @MintParker: Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :) #mintparker #conci…",114,1045,3549,6,0,2018-05-01 14:28:16,"merida,mexico"
273870110,amosdecasa,hoy #FelizDiaDelTrabajador os proponemos un buen plan #cine en casa 🎥 #señor dame paciencia con un cucurucho de car… https://t.co/OhMYOd1WYG,1621,2470,717,0,0,2018-05-01 14:12:34,Madrid
90684002,Red17com,"¿Serías capaz de meterlo en la bañera sin darle un bocado antes? :O
#Jabón #Cosmética #Jamón https://t.co/TSCuwk8dER",4933,3614,318,0,0,2018-05-01 14:00:11,"Madrid, España"
727521113039880198,carniceriaCM,"Una barrita energética, yogur con cereales o un batido multifrutas con 730 vitaminas puede que sean una merienda sa… https://t.co/GnBiwCteDb",108,53,76,0,0,2018-05-01 13:30:14,"Salamanca, España"
329218359,fuegodemortero,RT @LonuestroOv: Esta pareja nos encanta! #Bocartes en su mejor momento (acaba de empezar la #costera) con #jamónibérico y una #ensalada de…,322,557,1923,3,0,2018-05-01 13:17:55,Oviedo
4283525777,JotaCincoMadrid,"#Alcachofas rellenas con #salsa de #jamón, toma pan y moja https://t.co/vNJCxFYQrX",610,1260,2554,0,0,2018-05-01 13:00:37,"Madrid, Comunidad de Madrid"
90511557,AlfredoHG1,Unos nachos a nuestro estilo con presa y pluma Iberica. #jamoniberico #jamon… https://t.co/trMTq3JCMb,129,71,6,0,0,2018-05-01 12:43:59,Canary Island
2482201326,planvex,Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio ce… https://t.co/9lxtcqvVz1,6252,4538,14141,6,13,2018-05-01 12:25:05,Norte de Extremadura
128659373,jorgequerol,"RT @summumgolf: El mejor #Jamón de #Bellota 100% #Ibérico es, sin duda, de el  @SenoriodeMontan. Así lo demuestra esta imagen hipnótica de…",4930,1275,1436,4,0,2018-05-01 12:20:06,Amer Sports
3926290660,juanant1972diy,"RT @monstruorecetas: Receta de empanadillas de espinacas con queso de cabra y jamón cocido. Son de masa casera y cocinadas al horno, hacién…",1697,2780,69048,2,0,2018-05-01 12:20:03,
3351269302,jjulianbecerro,Estás por #laalberca ? Te esperamos en Espacio del Jamón. Además de visitar uno de los pueblos más bonitos de Españ… https://t.co/B2KoCxlEFx,490,750,9,0,1,2018-05-01 12:14:46,"La Alberca, Castilla y León"
903142856,monstruorecetas,"Receta de empanadillas de espinacas con queso de cabra y jamón cocido. Son de masa casera y cocinadas al horno, hac… https://t.co/ba8kqqV3a3",2769,1900,1223,2,1,2018-05-01 12:09:10,España
3351269302,jjulianbecerro,"Estás por #laalberca ? Te esperamos en Espacio del Jamón. Porque además de #jamoniberico tenemos ensaladas, tartar… https://t.co/Q91Th1VMmf",490,750,9,0,3,2018-05-01 12:09:05,"La Alberca, Castilla y León"
914437743379451904,laestacionrural,RT @Extremadura_tur: Saborea el mejor #jamón del mundo en el XXIX Salón del Jamón Ibérico en Jerez de los Caballeros del 3 al 6 de mayo. 😋…,129,255,1262,30,0,2018-05-01 11:59:16,"Extremadura, España"
832501856865808384,jamonFaustinoPr,"Si haces una visita a los @PatiosdeCordoba, no te olvides pasar por nuestra tienda en C/Jesús Mª,16. Buen jamón, bu… https://t.co/RlEAihXoCg",115,266,193,0,1,2018-05-01 11:44:26,"Cespedosa de Tormes, España"
4128866002,ycortojamon,"Feliz día del TRABAJO, TRABAJO, TRABAJO
*la sonrisa va de serie 😉

#cortadoradejamon #jamón #jamon #ham… https://t.co/QLKRyCqKQt",360,648,1124,0,4,2018-05-01 11:11:21,"Madrid, Comunidad de Madrid"
35044281,comoju,RT @LonuestroOv: Esta pareja nos encanta! #Bocartes en su mejor momento (acaba de empezar la #costera) con #jamónibérico y una #ensalada de…,12100,2646,12280,3,0,2018-05-01 10:48:02,"Valencia, pero de Asturias"
719917323080048640,LonuestroOv,Esta pareja nos encanta! #Bocartes en su mejor momento (acaba de empezar la #costera) con #jamónibérico y una… https://t.co/vxvGG3EUrr,54,240,17,3,1,2018-05-01 10:46:16,"Oviedo, España"
3223526587,LaTertuliaMx_,"RT @MintParker: Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :) #mintparker #conci…",872,785,2714,6,0,2018-05-01 10:24:04,
159373243,dnaveneno,"RT @MintParker: Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :) #mintparker #conci…",892,85,10297,6,0,2018-05-01 10:21:43,work in progess
901439552203763712,lamaletademaggi,RT @paladealo: Tan sencillo y tan bueno!! #huevosrotos #huevos #jamón #bacón #patatas ¿Paladeamos? 😋🍴🍷 https://t.co/5aLtxoJRaG,1206,1095,56941,1,0,2018-05-01 10:13:56,España
2879537854,paladealo,Tan sencillo y tan bueno!! #huevosrotos #huevos #jamón #bacón #patatas ¿Paladeamos? 😋🍴🍷 https://t.co/5aLtxoJRaG,651,1059,4145,1,8,2018-05-01 10:05:09,"Madrid, Comunidad de Madrid"
2831287463,cortijoolivar,"¡¡Un día como hoy no puden faltar nuestras riquísimas Cortijo Del Olivar!! 😋😃
El segundo placer de su vida.… https://t.co/tUAIeIBqc6",81,285,0,0,0,2018-05-01 09:33:25,Arcos de la Frontera
830480342251405312,RecetasExpress_,Judías verdes con jamón A MI MANERA https://t.co/sTjvBDdfV5 #jamon 😋,2874,1999,758,0,0,2018-05-01 09:16:32,España
1968666398,Sierra_sos,"Feliz #DíadelTrabajo! Ven a celebrarlo a la #SierradeAracena, un paraíso gastronómico donde el #jamón ibérico brill… https://t.co/KGXNeLmlli",273,243,15,0,0,2018-05-01 08:55:00,Sierra de Huelva
481872177,loa_82,@sninobecerra Quién ha sido el inútil e incapaz para hacer esto??? @PPopular #PP #jamon #ibérico #español @PSOE… https://t.co/06BHMpOpEA,228,636,32536,0,0,2018-05-01 08:48:33,
435118298,SPCJCORTADORES,¡Mano a mano! Elige con quién quieres compartir la experiencia de asistir a uno de nuestros #cursos de corte de… https://t.co/wskUFETthh,1256,305,2226,0,0,2018-05-01 08:35:04,"C/Brasil ,28,Torrejon de Ardoz"
934045712882466821,FranPCdJ,"Celebrando el día del trabajo con mis amigos!!!

#jamoneriafranperez #jamon… https://t.co/L2yR6Cih2T",11,77,8,0,0,2018-05-01 07:52:49,
556826427,Ibericos_Simon,RT @Ibericos_Simon: ¿Conoces las partes del #Jamón? Un aspecto importante para cortar bien cortadito ese que te van a regalar por Navidad.…,1801,1492,3132,2,0,2018-05-01 07:09:15,Guijuelo (Salamanca)
2481067784,entrecasaco,"RT COCINERAYMADRE: delicioso plato de verduras; ALCACHOFAS RELLENAS CON JAMÓN, fáciles, caseras y muy sabrosas.
Aní… https://t.co/Wn9hBUA916",10224,9107,2,0,0,2018-05-01 07:01:34,
86579208,dany_arcr,"Después de una balas de plata, YOLO somos godinez y mañana no trabajamos. #lunesqueparecenviernes #patanegra… https://t.co/fR52o9mRrw",379,398,1526,0,0,2018-05-01 04:39:36,México D.F
3133961534,caren_he,"RT @MintParker: Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :) #mintparker #conci…",664,180,32331,6,0,2018-05-01 01:41:34,"Mérida, Yucatán"
960018743387672576,MentitasParker,"RT @MintParker: Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :) #mintparker #conci…",8,13,32,6,0,2018-05-01 01:37:37,La Música 💕
1117838214,nellyparra_ES,RT @SalondeGourmets: El #jamón es bueno para el corazón. @navarretinto Jamón Ibérico de la Dehesa de Extremadura. #SalóndeExtremadura https…,2184,1771,22213,2,0,2018-05-01 01:34:12,"Madrid, España"
4396366761,Fyxel10,"RT @MintParker: Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :) #mintparker #conci…",174,464,1585,6,0,2018-05-01 01:24:00,
169046068,MintParker,"Mañana toco en @patanegramx en condesa, a las 9 de la noche! A quién voy a ver? Entrada libre con id. :)… https://t.co/rTz3rWUhh2",1326,503,1076,6,10,2018-04-30 23:56:19,"Ciudad de México, CDMX, México"
72315595,pizzaspiccolo,"Vive la magia de nuestro punto de venta en Llanogrande
.
.
#piccololaspalmas #fiestasinfantiles… https://t.co/ERnv3OdCNc",1847,1914,23,0,0,2018-04-30 23:39:20,Colombia
72315595,pizzaspiccolo,"Vive la magia de nuestro punto de venta en Llanogrande
.
.
#piccololaspalmas #fiestasinfantiles… https://t.co/9u19LZCxWL",1847,1914,23,0,0,2018-04-30 23:34:22,Colombia
846849177711775744,Embutidomallorc,"¡Deli-Pastelitos!😋

Rellenos de jamón de pavo Mallorca con el único y buen sabor español

Perfectos para la cena, d… https://t.co/rdmsElyHi2",205,893,1704,0,1,2018-04-30 23:08:38,"Caracas, Venezuela"
931482084291563521,genandaluz,RT @IbericosCOVAP: ¡Es temporada de #Esparragos! ¡A por ellos! ¿Se os ocurre alguna forma mejor que está para disfrutarlos? #JamonAltaExpre…,360,422,3724,2,0,2018-04-30 22:16:44,"Sevilla, España"
723209512207978496,recetix,RT @COCINERAYMADRE: PASTEL DE POLLO Y JAMÓN casero y muy fácil de hacer; queda muy jugoso y sabroso perfecto para comer frío o caliente y b…,600,743,850,1,0,2018-04-30 22:07:18,España
2756030906,jarosagarcia,"RT @tiendaalpujarra: El jamón como está más bueno es recién cortado... 😋
Disfruta cuando quieras del rico #jamón de la #Alpujarra recién co…",280,174,37883,2,0,2018-04-30 21:40:24,"Mallorca, España."
2348984502,COCINERAYMADRE,PASTEL DE POLLO Y JAMÓN casero y muy fácil de hacer; queda muy jugoso y sabroso perfecto para comer frío o caliente… https://t.co/0HE2glI0T7,2254,706,2640,1,0,2018-04-30 20:56:40,"Alicante, España"
151503089,cordobaactiva,RT @IbericosCOVAP: ¡Es temporada de #Esparragos! ¡A por ellos! ¿Se os ocurre alguna forma mejor que está para disfrutarlos? #JamonAltaExpre…,1091,355,16223,2,0,2018-04-30 20:23:56,Córdoba
925719525835800576,oiltogetherAove,"RT @estanisOchoa: Cena del jefe jefazo... cuando le deja la jefa jefaza 😬🙄
.#huevos fritos #veaci con un poco... una pizca de nada  de #jam…",314,3,23,1,0,2018-04-30 20:16:23,"Madrid, Spagna"
71319496,estanisOchoa,"Cena del jefe jefazo... cuando le deja la jefa jefaza 😬🙄
.#huevos fritos #veaci con un poco... una pizca de nada  d… https://t.co/qEhiSlw7hd",228,401,3438,1,1,2018-04-30 20:07:48,"ÜT: 43.172062,-2.5430513"
985829353673109505,LateCadiz,"RT @carmeniq: Huevos 🍳 con jamón, cebolla y patatas de Venta El Toro en #Vejer. Nada grasientos, exquisitos. Normal que se llene 😮
• • •
•…",341,272,322,1,0,2018-04-30 19:26:25,"Cádiz, España"
3824644036,castill_tony,"RT @joselitos_: Sol, @JamonJoselito y buena compañía. ¿Se os ocurre un plan mejor? Aunque a falta de #sol, siempre quedan los buenos amigos…",15,94,146,2,0,2018-04-30 18:51:52,
221755416,carmeniq,"Huevos 🍳 con jamón, cebolla y patatas de Venta El Toro en #Vejer. Nada grasientos, exquisitos. Normal que se llene… https://t.co/HA0h2tnZ7D",873,1282,890,1,3,2018-04-30 18:34:19,Cádiz
826116393024286720,carpinterosvlc,Tapita de #jamón para acabar el día. #FelizNoche #CarpinterosEnAcción https://t.co/460QNhIYjS,195,130,58,0,0,2018-04-30 18:15:24,"Valencia, España"
2216518088,wikijamon,"#OFERTA - Jamonero afinox, con estructura en acero inoxidable y base de silestone de color ""Estelar Negro"". (Hay va… https://t.co/bP84Xebwrj",324,209,255,0,0,2018-04-30 17:50:07,España
