ID,Seguidores,Siguiendo,Favoritos Cuenta
ID,Seguidores,Siguiendo,Favoritos Cuenta
BeatrizFernnd,5656,2318,63541
LaAguja_es,2309,2348,1741
AsadorDublin,3082,1527,1411
TheGuardianCBcn,339,1719,337
tapitasypostres,1837,220,1220
Jamon_EveryBody,374,1718,215
isaresina,1019,455,13336
mokologue,13829,14902,45908
vinagreando,3677,3830,11315
MJtopsecret,48,665,2599
Sheila98421993,30,247,3387
LaEncarnacionAR,856,752,6555
GoizaldeGomez,56,283,37919
dastatu,2209,1623,145
BiologuieLehrer,264,596,1
bellasartes7,221,468,1121
AbrahamSanchezS,273,516,265
Santa_Teresa,5341,1427,10904
mjmr2014,151,326,2636
JoseMaAngulo,214,247,352
PrvdentivsJamon,188,238,203
anidelboleto61,3,108,17
mundoiberico,153,77,52
joselitos_,351,291,1115
Alimen_21,130,283,65
tiendaalpujarra,72,84,33
Elsuquet,248,565,40
Grup_Olive,645,629,1395
CCjamondelbueno,91,194,30
FonsidelasHeras,65,81,8083
remaloan,2665,1463,49991
AO_CORTADOR,576,561,128
JamonJoselito,29754,1337,6531
joellblaughton1,346,602,1083
yendoporlavida,1324,1008,9816
AlimentariaBCN,36935,977,8928
Institutdelcava,6127,863,6553
jorge0viedo,6748,6257,64741
alcytamad,454,65,3
Hemosa_esp,2354,2500,141
Leona70549466,133,294,606
moniberic,1149,1522,987
agrnegocios,17125,2950,12630
Cacelome,646,1120,4076
DianaGtzl,83,56,965
Trucosdhogar,2092,1331,7463
pmdpmd2,10,104,29
revistafeel,22739,200,456
adribrennus,440,4612,2619
evamariacano,1564,2187,77134
IsabelGamezcar,135,188,136
romygamy2,820,4488,19351
mujerdehoy_Vir,892,327,8024
LaPatrii,1613,1601,7972
TozappingPortal,101,3,3396
wwwtozapping,421,3,3474
soniajuradops,2361,1054,36524
taberna_obispo,2317,64,2588
RubenFincaGaGo,15,67,377
NoblezaCharra,945,111,213
macuvillar,75,113,1103
Culipitri,897,723,8439
MAIKIKI_ROTORES,352,106,8
Paco_jo,224,48,98
Gille_RM,947,1534,28730
STEMcooking,46,781,364
pinovillar,779,701,581
jpijuann,1582,2155,5526
jamonadvisor,2,0,32
SanditEmbutidos,42,57,63
EncantosCR,100,197,1
SemergenEx,761,662,1672
emerita2018,190,189,6442
BorralloJavier,69,106,4152
marco_mseyerm,570,1839,17587
vitukagg03,103,520,10131
favlighthouse,27,214,240
AdaugMt,533,692,6696
alex_tuitt,110,386,255
JuntaEx_Mundo,488,385,268
ParqueArboleda_,64,45,49
ertt33,292,231,9633
debocaaccion,355,431,2476
ArteOliva,2141,2411,2684
Honorio_Cordoba,3256,4787,9024
VanessaSkp,366,253,1246
GabrielZF20,163,241,4526
amparodelarosa,180,179,688
Eneko_T,160,904,105
LucasGQF,10556,426,5334
Olaya68842448,4,8,8
InbocaGastrobar,645,887,1370
elblogdeceleste,308,1519,606
elpady,9071,1403,37141
Echu_casar,108,99,209
daviiiiiiii8,10799,11281,53211
Hotel_Torres,1206,1333,5644
jamonesescalona,339,228,5
juan32609469,13,42,114
mariadisfraces,689,1175,704
woodoochile1,259,557,10679
cocinayaroma,101,140,17
MCHM_Chamartin,5581,1403,5443
Cortegana_tur,1594,1418,3476
irenecocina,148,35,160
AMILescuina,606,1214,144
FEULS_,75,64,4
CocinityManager,74,500,249
JoseEnriqueBR,933,1490,1073
cadenadelfred,8023,8797,5941
DO_Cava,5046,1473,6184
Manglanopons,1052,1964,159
ClubOroMesaAnd,22,33,339
jamoneslazo,496,757,50
buranga,8134,7911,1417
Cerrillo7Maria,88,178,509
VIAJAoMUERE,1007,2205,9058
Justo_Perez,1473,1343,3302
_Daniel_Camacho,97,70,2269
jorgesan1269,970,303,79
fsanchezfer,96,402,19
granhotelnagari,1120,460,1407
PatrimonioAlava,742,62,1150
SebasGmoreno,497,1806,3247
JamonCorte,222,1860,84
LaBocateria_net,85,155,55
PizzeriaLaClave,49,47,94
radiohuetor,1611,2113,2158
rubennunezdiaz,1043,2006,2047
InstEmbalagens,2068,309,293
donchavito,605,277,3980
ASAJASEVILLA,3897,582,8317
BistroGastropub,16,560,0
laslagartosas,1255,2178,1688
59Daz,653,1613,12677
jorgevenjuto,56,195,1251
cocinadeleticia,412,461,5494
Cuevadeliberico,633,682,892
LaCocinaDelSur,6965,5498,14843
Rebelmadiaq,1096,408,472
diegohdezslicer,446,509,770
7189GLR,1762,102,48485
BRodriguez2018,159,596,1586
_Amy777,1869,326,71046
FoodingMood,247,195,2158
IbericosTorreon,136,139,251
Al_Zahara_,2130,209,97915
jamonesbasurde,14,81,6
SargoMadrid,4,22,0
Delicatessenred,11298,3599,2203
morenosusan,514,800,302
CasaAlbaGourmet,561,103,406
JamonMelquiades,204,395,666
laabaceriamlg,81,140,21
EmbutidosGL,2309,2321,64
JamonOnline,81,139,3
silvi_jimenez,229,309,159
InmaTenor,42,154,115
Empacke_Design,60,408,1338
agustin_aspano,188,197,2309
basmaticweb,531,469,1785
consorciojamon,505,556,285
JuanGarces_,228,1482,824
Vlcforex,2768,193,813
cocinerapequena,378,652,840
CortadorJamonCC,891,2415,2853
jamonarium,430,498,414
MilaMChef3,2955,852,18479
PIJORRIN,78,77,108
wastewin7,1958,1201,32679
labellatierruca,94,25,5958
viajeporelmundo,8607,2142,10145
rinconderachel,1941,869,23905
JamonLaValla,22,19,32
RaicesSerranas,27,82,1
CavaSantaClara,741,1194,205
MarionaLucas,23,66,352
LaGalamperna,2167,2090,6151
bellezapercaleo,1005,804,11786
dulceespaciopan,3,0,0
CdeCarnica,4921,370,93
JavierAbascal1,1940,2497,8578
RedkenCoC,83,161,9771
ruiz393,144,139,687
Olibher1965,165,111,48
crisromero,114,260,1961
marialopez170,14,257,531
corteycataiber,135,209,45
Giarmamo,58,414,340
gourtfood,468,550,5129
DANIELASCORT,3994,2302,772
LeteTaberna,112,124,624
EmbutidosRicci,74,347,16
aligarcialobato,1697,2946,25501
BenitekaD,674,1573,7327
santirodrigomez,35,56,252
Vasllego_Detect,12,32,0
artedepatanegra,71,115,19
JuanLuisMoren11,3006,2701,19635
mariviespinosa,1544,1920,27380
VentePrivee_ES,4842,1235,2024
dolospedroches,1334,65,2050
titanazul,236,2388,3418
JuntaCordoba,2128,229,462
LenRoldn,3033,3306,9316
caviardetrufa,120,187,155
seralgalvez,1394,1981,48990
LalolaGastrobar,7337,5565,7461
ELeclerc_Esp,1027,345,1159
ElMolinoAceite,23,25,0
cadecordobaAE,2723,2347,617
EscuelaJamon,1515,238,550
LaOnuba,1152,1034,2797
canelaYclavo_AC,222,282,92
may_bellot,8,15,62
Llorente67,124,254,940
sanchezalcaraz_,308,172,436
TONICRUZ1,6745,2715,13866
IMPRO_PRIMO,7,63,24
EBDrinks,14,68,104
FerValmaseda,2128,1428,47
SpainInRussia,1820,772,33991
1ed06e2568ac4d8,1746,129,87490
Maria_Rocio_L,10017,9276,80912
TurismoBadajoz,3140,172,313
byjuliaserrano,8598,5461,49168
MencasGourmet,56,7,56
carnicasmencas,111,120,10046
naranjasfoios,6613,6524,46229
_Lamauri,848,330,20673
masqueropa,2448,434,45693
flashmodainout,2333,854,38448
dinamiza,1502,1306,1731
MJ18768923,22,138,5833
Ariencilla,4873,1996,54497
CosasDeRosa,5195,3421,87683
_maresa,1835,1130,1620
romanorvm,2946,3223,1357
BereniceOBADIA,1703,843,52565
magdaaparicio76,293,127,31648
Fansdelaradio,3319,1176,36657
CarlosJRubiofm,11241,10315,55501
dreamsatfifty,820,695,4398
m_ontoba,6207,2600,89114
AIAljama,3533,3080,28405
AlmaModaAldia,4385,1022,49666
1001zapatos,4066,1034,19981
alfchoice,2039,990,20019
IbericosPerera,944,643,5844
gourmet_roja,188,589,1189
Nesy21,3205,4656,29323
oscarpuntozero,43,141,151
baezmalyo,1965,232,15498
WhynotShopper,1814,649,35058
Stardivarius_,4113,1168,74057
LifeLoversBcn,8275,3581,73374
cincuentayque,5131,1312,124123
MartinezSomalo,783,750,508
CGS99749777,17,19,32
LatinoFoodFest,3876,3698,50022
crislaurika,63,278,2957
Yomimeconmigo7,205,400,8566
chuspons,17732,15506,115260
grupocomapa,20,66,75
AngieGuillenMua,3349,2142,25533
CarmenMarySM,1424,548,12034
48horasBadajoz,6345,995,743
Juan29864466,10,27,12
CasinoTarragona,1054,252,682
sandrita111,151,155,845
elisacreams,3120,3127,32427
CarnesMontoro,160,259,194
ArbonaidaAove,1238,898,504
cortedeespin,42,314,52
chary_serrano,8155,4657,35912
rincondeika,4272,990,41498
RMrquez,235,267,1071
salonesmluisa,354,423,3
jamonluisbravo,140,95,43
labialesypigmen,3210,477,10177
1982nala,405,57,4063
el_secretos,488,201,9168
labotigaderub,760,468,16774
SusanaOlympia,2948,1730,59474
ignprigar,224,211,2371
mai_maikshine,2780,930,51957
ARTPhotoMakeUp,5393,3623,65736
amaliagaroca,818,356,6734
QueridasFashion,5894,2874,39537
moraorodriguez,248,499,1021
Daniel_vgarcia,197,351,1611
IBERICOSFISAN,1953,2654,2736
IberianFinest_,51,273,28
Neodatameat,350,706,288
siridiano,39,252,3617
HortoGourmet,1139,886,4634
Bernard_GD,2151,1954,39647
LaVidaCerda,386,648,273
CanalTello,1326,868,2339
TurismoJarote,1378,1346,1167
khan330p3,22,64,235
FestaFamiliaEIJ,1,0,1
LUISBRAVOMARTN,71,118,171
1MEICK3,37,261,1706
CiudadesAVE,4401,1367,22712
maisgrelos,5854,4845,13085
delisierra,436,344,11
SalamancaNegra,2033,603,1164
_juanjo82_,394,185,7415
GuerreroRafael_,4624,5102,2937
MeatAttraction,720,309,767
ElChurrascoRest,430,286,479
FAGallardo,1970,1030,1190
japonsfornelino,54,56,370
mercadochamberi,1564,911,1031
aldomaher,360,1461,359
MiriamBaucells,614,840,622
JamonBlazquez,1252,603,680
usal,48041,1739,3562
IberSPAIN,147,156,48
EFALASERNA,180,317,116
MinistroOviedo,1131,588,6320
PacoBescos,575,925,1325
recomtogadaraya,1809,827,44352
PamplonaNegra,1349,494,2175
CordobaShops,2679,612,5454
ZuazoGaston,1642,370,649
CharcuterosDel,32,298,1
under70_es,1166,935,4243
estrellazul95,42,465,263
RenataOjerada,767,817,1156
JaviFigueroa22,124,109,2762
VictorEurocajaR,638,86,4698
KromiMarket,24218,236,927
rosa_concha,24640,390,16055
FCRCLM,1912,682,3606
JamonSuprem,27,368,18
bloginterrobang,455,28,1551
CasinoObrero,466,119,154
PaolaMacea6,5,36,855
GaonaAula,248,64,2095
AbrahamPriego96,9231,9682,36419
Tannatgourmet,78,192,122
PradosRepresent,271,135,1069
La_Finojosa,16,23,24
Atram_sinprisa,4851,1320,10575
vinaguarena,386,643,35
CristinaTeijelo,1749,888,1702
ismael_veypo,266,811,4697
nutricuriosa,221,165,1625
CeciliaRoRu,125,70,3272
saltodepagina,4422,1042,4263
PAKEBEAS,174,296,8073
nefe164,109,719,558
JaujaCocinaMex,1068,148,943
Eric_Asnard,184,681,177
alejandro_DelDo,24,119,32
armateo,127,589,96
SMedianatursai,2512,4709,13543
ucoidep,238,160,617
hisabeldsegura,223,286,229
Viagrupo,26224,11400,11
Salamero13,45,127,27
flamagoibericos,80,12,20
aplusmk,2281,620,2935
EssentiaRest,306,1081,65
iglecristo,20,380,28
Paolo83400112,141,806,1954
centralidparque,99,412,30
Marcos_Munilla,436,455,564
ELaHoguera,953,584,78
JoseMiguezCid,1232,2365,3725
dvillarrib,1620,496,12657
DonMauroRte,195,235,48
buffetdetapas,1248,903,1740
carniceriaflore,417,23,5
ChocolatBs,69,45,159
recetasdecarol,12071,10520,30028
summumgolf,5652,1668,10743
RestTxinparta,850,906,69
manzanares_es,1876,87,80
Sabor_Manchego,12,2,0
kruela2010,373,1130,14487
delademanda_Bur,151,693,77
David_GPuerta,887,360,10927
TodoMemesWeb,29,0,0
